message_id,channel_name,channel_title,message_date,message_text,has_media,image_path,views,forwards
189031,tikvahpharma,Tikvah | Pharma,2026-01-19T11:09:24+00:00,"19-01-26
Currently available Drugs 


💊. Dicloran tab 50mg
📦 100pack
⏳ Jul-28 
   5carton diclo with 1carton.    L-Iron attachment 


💊.paracetamol syr
📦 150bott
⏳ Jun-28

💊.L-Iron syrup   (Iron+folic acid+
      VitB12+zinc)
📦 72 bottles 
⏳ Feb-27


💊.Pregabalin 75mg(Neurolin)
📦 360pack
⏳ Dec-27


💊. Co-trimox susp(Iftrim)
📦 100 bottles 
⏳08-27

Cotrimoxazol oral suspension  attached with L iron  ratio 4:1

💊. Indomethacin 100mg supp
       (Indocor)
📦 160 pack
⏳ 11/2027

💊. Disp. Syringe 3cc
📦 100 pcs
⏳ 01/2029

💊. Disp. Syringe 5cc
📦 100 pcs
⏳ 01/2029

💊. Disp. Syringe 10cc
📦 100 pcs
⏳ 01/2029

💊. Surg. Glove powdered
📦 50 pairs 
⏳ 01/2029
  
💊. Surg Glove powder free
📦 50 pairs
⏳ 01/2029 

💊. Urine bag 2000ml
📦 
⏳ 4/2029

💊. ECG machine 1212G
  *Adopt 10.1 high resolution colour LCD operate by full-touch screen & function buttons.
* ECG that can simultaneously capture & print 12 lead ECG wave forms.
*Auto measurements & auto -interpretation for routine ECG parameters.

💊. Pulse Oximeter finger tip
       Model CMS5OD

🔰Update Items 🔰

✅️Diclofenac 75mg inj (Reyoung)
✅️Amoxa 500mg 10*10
✅️Ampi cap 500mg 10*10
✅️Doxy Cap 100mg 10*10
✅️Cloxa 500mg 10*50
✅️Ceftra WFI
✅️Cefixime syrup 60ml
✅️Haemup syrup 200ml 
✅️Vancomycin 1gm
✅️Dextro syrup
✅️Diphen syrup 
✅️Moxipile 156mg
✅️Moxipile 312mg & 457mg syrup
✅️Clavamya 156mg syrup
✅️Clavamya 228mg
✅️Salbutamol puff
✅️Keto shampo 100ml
✅️Ns with 6iv and 12iv set
✅️Gauze 90*100
✅️Syringe...10cc(Discount)
✅️Magnus Binocular Microscope 
✅️Exam glove powdered & free Discount price

Sinishaw (pharmacist)

    ☎️ :-0911884446
    ☎️  :-0903327887",False,,149,0
189030,tikvahpharma,Tikvah | Pharma,2026-01-19T10:37:23+00:00,"Urgent vacancy✌️
GOLE DRUG STORE
Professional: 

1. Junior pharmacist with 1 year experience or senior druggist with clearance less than 6 month

Salary: Attractive

Area: Sheger city, Sululta subcity

0953913486",False,,201,0
189029,tikvahpharma,Tikvah | Pharma,2026-01-19T05:35:08+00:00,"የቻናል ግብዣ:
(ለፋርማ ማከፋፈያዎች ብቻ) 

የመድኃኒትና የህክምና እቃዎች ዋጋ በየቀኑ አይደለም በየስዓቱ በሚቀያየርበት በዚህ ወቅት የምርትና ዋጋን ሁኔታ መከታተል እጅግ አስፈላጊ ነው። 

ስለዚህ የመድኃኒት ማከፋፈያዎች ብቻ(only) Join request ላኩልን።
👇
https://t.me/+Oi2lTIrhZIgzNDNk

For approval purpose 
Please send your WS license 
to: @tikvah_sales",True,data\raw\images\tikvahpharma\189029.jpg,625,1
189028,tikvahpharma,Tikvah | Pharma,2026-01-19T05:10:08+00:00,"PHARMAKON TRADING HOUSE PLC
        10/01/2026

       ✈️ New arrival  ✈️
🧤 Examination glove 
      🧤powdered 
      🧤 powder free 

   ♟ Lab Kit

1, Urine strips  of 100.
2, HCG of 50.... 

1Adhesive Plaster
¤7.5*5
¤10*5
¤ 12.5*5
2First aid plaster

1,Olympus CX 23 MICROSCOPE 
2,Tounge depressors
3,Cover glass 22x22..
4,Pap smar kit/cervical brush
5,Autoclave indicator
6,Esr rack 30 min..
7,Capillary tube with heparin 
8,Automatic lancet

   ♟  Blood Collection Tube
2,EDTA GLASS 
4,EDTA K2 GLASS.(PPT TUBE)
6,HEPARINE tube of100 
7,PT Tube  of 100.


  ♟Orthopedic items
1, Cotton Pad
     15cm x3m ..
      10cm x3m....
   ,    7*3
2,POP  7.5*3
              10*3
              15*3           
3, Elastic bandages
    7.5cm *5m .  
    10cm *5m.   ..

      ♟SUTURINGS
1cut gut 1round..
2,cut gut 2round 
3,cut gut 4/0 Cuttings 
4 cut gut 4/0 Round
8,Silk.4/0 cutting ..
9,Silk 2/0 cutting .
10,Silk 1 round 
11,Silk 2 round 
12,Silk 3/0cutting 
13,vicryl 0round 
14,vicryl 1round 
15,vicryl 2round 
16,vicryl 2/0 round 
18,vicryl 3/0 cutting 

♟ Laboratory Instruments 

1,Centrifuge 12 hole digital ,(DLAB)
2,Shaker (DLAB)
3,micropipette (DLAB)
      5-50uL
      10-100uL
5,digital.time.....
6,Test tube rack ....
  
    ♟   IMMAGING CONSUMABLES 
1,Ultrasound Gel..
2,ultrasound paper110*20m.
3,ECG PAPER 210*295.
4,ECG PAPER 210*140(zfold).
5,ECG paper 210*140mm roll
6,ECG paper 215*30m....
7,ECG paper 215*20m...
8,ECG paper 210*280.z fold .
9,ECG paper 110*140 ..z fold 

     ♟MEDICAL CONSUMABLE 

1,Epidural kit 18...
2, Endotracheal Tube ..
   ¤Size 2.5, 3, 3.5, 4, 4.5, 5 & 5.5      
3,Endotracheal Tube..
     ¤size 6,7 & 7.5       
4,IV  Cannula 
     ¤    Size 18..
5,Folly Catheter Two way.
    ¤ 18    
6,NG Tubes...
         ¤ Size 16 &18 
7,Spinal needles...
      ¤size  21,22,23 & 24
8,URINE BAG 2000ML..

    ♟GENERAL LAB ITEM
1, Sterile swabs of 100...
2,specimen bag of 100...
3,alcohol pad of 100
5,yellow tips of 1000.
6,pasture pipette of 500.
7,petri dish 90mm dia...
8,lense paper 100....
9,Embeding casste white $ green of 250..
10,nnoculation loops 
10µl of 100..
1µl of 100...
11, cover glass 24*50 of 100.
12, Twisted blood lancet....
13 ,Frosted slide  of 50..
15,Applicator Stick w/out cotton
✒️of 1000..
✒️of 100...
16,Applicator stick.with cotton of 100
17,capillary tube non heparin
18,E.S.R.pipetes, glass..
19,centrifuge tube 2ml of 500
20,counting chamber.(WBC).
21, Conical tube 15ml.without cup of 100..
22, conical centrifuge tube 15ml with cup of 100...
23, conical centrifuge tube 50m with cup
¤of 50...
¤ of 25

      ♟Dust material 
1,sharp  container 5L PLASTIC...
2, Dest Bin plastic 15L PLASTIC..

      ♟SURGICAL BLADES
1,Surgical blades 
     Size #10....
2,.Surgical blades
  Size #11 ,#15,,#23..
3,Surgical blade 
   Size #24......
    
   ♟ FORCEPS   $SCISSORS
1mosquito forceps Straight &curved  12.5cm.
2,Towl clump forceps...
3,scissor curved14.5 str
4 umbilical cord scissor10cm.
5,scissor bl/bl 14.5 cm str
6,Spencer well ligature.scissor 14.5 cm.....
7,gigli handle..
      ♟Hospital  furniture
🪶Spine board stretcher

@pharmainfocenter
""PHARMAKON-THE  ONE YOU TRUST""
📶🤳
0915407070    ÃNWAR
0921058468.    NEJIB
0944703333     selhadin
0944603333     aminat
0944573333     Mebirat
0944583333    Mule",False,,372,0
189025,tikvahpharma,Tikvah | Pharma,2026-01-18T13:43:15+00:00,"🎄 Upgrade to Telegram Premium Today! 🌲  

🎁 Enjoy exclusive features, faster performance, and an ad‑free experience with Telegram Premium. Choose the plan that works best for you:  

🎅 1 Year – 6,500 ETB  
🎅 6 Months – 4,000 ETB  
🎅 3 Months – 2,900 ETB  

✨ With Telegram Premium, you’ll unlock:  
- Double limits for channels, groups, and files  
- Faster downloads and priority access  
- Advanced chat management tools  
- Unique stickers, reactions, and profile badges  
- An ad‑free, seamless experience  

📩 For subscription details or to get started, contact:  
@tespha  
📞 +251 917 176 560",False,,523,0
189023,tikvahpharma,Tikvah | Pharma,2026-01-18T13:37:50+00:00,"18-01-26
Currently available Drugs 


💊. Dicloran tab 50mg
📦 100pack
⏳ Jul-28 
   5carton diclo with 1carton.    L-Iron attachment 


💊.paracetamol syr
📦 150bott
⏳ Jun-28

💊.L-Iron syrup   (Iron+folic acid+
      VitB12+zinc)
📦 72 bottles 
⏳ Feb-27


💊.Pregabalin 75mg(Neurolin)
📦 360pack
⏳ Dec-27


💊. Co-trimox susp(Iftrim)
📦 100 bottles 
⏳08-27

Cotrimoxazol oral suspension  attached with L iron  ratio 4:1

💊. Indomethacin 100mg supp
       (Indocor)
📦 160 pack
⏳ 11/2027

💊. Disp. Syringe 3cc
📦 100 pcs
⏳ 01/2029

💊. Disp. Syringe 5cc
📦 100 pcs
⏳ 01/2029

💊. Disp. Syringe 10cc
📦 100 pcs
⏳ 01/2029

💊. Surg. Glove powdered
📦 50 pairs 
⏳ 01/2029
  
💊. Surg Glove powder free
📦 50 pairs
⏳ 01/2029 

💊. Urine bag 2000ml
📦 
⏳ 4/2029

💊. ECG machine 1212G
  *Adopt 10.1 high resolution colour LCD operate by full-touch screen & function buttons.
* ECG that can simultaneously capture & print 12 lead ECG wave forms.
*Auto measurements & auto -interpretation for routine ECG parameters.

💊. Pulse Oximeter finger tip
       Model CMS5OD

🔰Update Items 🔰

✅️Diclofenac 75mg inj (Reyoung)
✅️Amoxa 500mg 10*10
✅️Ampi cap 500mg 10*10
✅️Doxy Cap 100mg 10*10
✅️Cloxa 500mg 10*50
✅️Ceftra WFI
✅️Cefixime syrup 60ml
✅️Haemup syrup 200ml 
✅️Vancomycin 1gm
✅️Dextro syrup
✅️Diphen syrup 
✅️Moxipile 156mg
✅️Moxipile 312mg & 457mg syrup
✅️Clavamya 156mg syrup
✅️Clavamya 228mg
✅️Salbutamol puff
✅️Keto shampo 100ml
✅️Ns with 6iv and 12iv set
✅️Gauze 90*100
✅️Syringe...10cc(Discount)
✅️Magnus Binocular Microscope 
✅️Exam glove powdered & free Discount price

Sinishaw (pharmacist)

    ☎️ :-0911884446
    ☎️  :-0903327887",False,,472,0
189022,tikvahpharma,Tikvah | Pharma,2026-01-18T10:11:48+00:00,"💉💉10cc syringe
💉💉5cc syringe
💉💉3cc syringe 
💉💉Insulin syringe 

1. IV cannula 18G, Green= 
2. IV cannula 20G, Pink= 
3. IV cannula 22G, Blue= 
4. IV cannula 24G, Yellow= 
5. Surgical Blade size No.15,24=


💉 Artesunate inje120mg
💉Artesunateinje 60mg 

🧽Dicloran dicloran💵78 🕰 long

🧤🧤🧤Examination  Glove 
       💵 550 limited quantity ⛔️

💉💉Duclo injactio 💵     limited quantity ⛔️     📦24 🕰2028

1.  plaster 10*5=   📦 180
2. plaster 12.5*5   📦120
3. plaster 12.5*10 📦120
4,Plaster 2.5cm    📦360
5,Plaste   5cm      📦180
6,Plaster 7.5cm   📦180
      🚽🚽Urine bag 

💊Amoxa(amyn) 500mg  
     📦 105 💵 115

💊 AMYN, 100ml
Amoxacillin 250mg/5ml
    💵 115
     📦 100 
     📆 09/ 2028
     
💧CLAVAMYN 312mg 
       📆 09/ 2027
       💵 330
1. HBsAg strip of 50pcs (Egens)💵1,040 
2. HPAg strip of 25pcs (Egens)💵1,675 


🧽AZITHRAA500 ⛔limited 
     Azithromycin tab 1*3 ) 
         💵63  📦1600 

💊 Ampicillin Capsule💵2800 📦 20
💊Ors  📦600💵 30
💊Amoxa 500mg 50x10 apf 📦 20💵 2800

1.Cledomox 1g of 14 =448
2.Cledomix 156 =195
3.Cledomox 228 =220
4.Cledomox 457 =380
👉👉👉312.5mg = 330 
5.Medomol 500mg of 10*10 (Pcm) 💵115

✅ Glucose injection 40%,20ml📦 600📆 8/2028
       💰 22.50

🧤🧤🧤Surgical gloves
            1450 &1500

🧊Clotrimazole vaginal  
      inserts 100mg(Clovagy
      100)India 🇮🇳 💵 85🕐
      04/27📦 400
🧊Salbutamol 2mg/5ml  
     syrupIndia 💵 65🕐
      09/26📦 100 
🧊Salbutamol InhalerChina 
     🇨🇳 💵 190 10/27📦 300

💧EDTA (plastic )💵 750📦
💧EDTA (glass💵660📦
💧Sst tube 💵1000 📦12

👉 RDT Of 25 💵 940
👉 RDT Of 30 💵1200

Vicryl,3 cutting... 1350 birr
Vicryl, 3 Round.. 1350
Vicryl, 2 cutting.. 1200
Vicryl, 2 Ronund... 1200
Vicryl, 2/0 cutting.. 1050
Vicryl, 2/0 Round.. 1050
Vicryl, 3/0 cutting.. 1050
Vicryl, 3/0 Round.. 1050
Vicryl, 4/0 Round... 970
Vicryl, 5/0 Round.. 970
       Cutgut
Cutgut, 2/0 cutting... 950 
Cutgut, 2/0 Round .. 950
Cutgut, 3/0 cutting....950
Cutgut,3/0 Round.... 950
Cutgut, 1 cutting... 950
Cutgut, 1 Round... 950
Cutgut, 2 cuttimg.. 950
Cutgut, 2 Round.. 950
Cut gut, 4/0 Round.. 950
          
💉benzathine penicillin injec 💵 62📦20

👉#, Price Update
1. IV cannula 20g= 1450
2. Automatic Blood lancet of 100= 1100
3. Twisted blood lancet of 100= 160
4. PGA, Vicryl 0 Round= 1150
5. PGA, Vicryl 0 Cutting= 1650
6. PGA, Vicryl 1 Cutting= 1150
7. PGA, Vicryl 1 Round= 1150
8. PGA, Vicryl 2 Round= 1150
9. PGA, Vicryl 2 Cutting= 1150
10. PGA, Vicryl 2/0 Round= 1150
11. PGA, Vicryl 2/0 Cutting= 1150
12. PGA, Vicryl 3/0 Round= 1150
13. PGA, Vicryl 3/0 Cutting= 1150

#BANDAGE 
1. POP Bandage 15*3= 140
2. POP Bandage 10*3= 135
3. Elastic Bandage 7.5*5=4 65
1. IV Cannula 20G= 

💧💧💧💧💧💧💧💧💧💧💧💧
👉Coartum z-artem with individual box =💵

👉Manitol 500ml =

👉Manitol 350ml =


👉Omeprazole inj 40mg =

👉Almetamin tablet india  roze clour=

👉Cimetidin inj=

👉Premolut inj 

👉H-cort =

👉Premolut tab =

👉big powerful =

👉Big pawor one =

👉Artsunate 120mg =

👉Arthemetrene inj 80mg=

👉Chloroquine injection =

👉amiodaron  inj=

👉Thyroxine 50mg =

👉viagra 100mg Vigo =

👉viagra 50mg vigo with individual pack =

👉dexa inj 4mg =

👉Sodium valporate 200mg =

👉Sodium valporate 500mg 

👉Clindamycin capsule 300mg =

👉Noradrenalin inj =

👉Neurobin inj =

👉Pregabalin capsule 300mg =

👉Vitamin B12 inj =


👉Leucovorin  inj=

👉Enoxaparin inj 60iu =

👉Meropenom inj=

👉Haloperidol inj =

👉Vecronium inj 10mg withdistelledwater=

👉Serteraline 100mg=

👉Serteraline 50mg=

👉Propofol inj

👉Resperidol 4mg=

👉Lidocine with-7/26=

👉Lidocine with-3/28=

👉Glow pawor plus-04/26=


☎️    0940730534",False,,507,0
189021,tikvahpharma,Tikvah | Pharma,2026-01-18T08:49:06+00:00,"18-01-26
Currently available Drugs 


💊. Dicloran tab 50mg
📦 100pack
⏳ Jul-28 
   5carton diclo with 1carton.    L-Iron attachment 


💊.paracetamol syr
📦 150bott
⏳ Jun-28

💊.L-Iron syrup   (Iron+folic acid+
      VitB12+zinc)
📦 72 bottles 
⏳ Feb-27


💊.Pregabalin 75mg(Neurolin)
📦 360pack
⏳ Dec-27


💊. Co-trimox susp(Iftrim)
📦 100 bottles 
⏳08-27

Cotrimoxazol oral suspension  attached with L iron  ratio 4:1

💊. Indomethacin 100mg supp
       (Indocor)
📦 160 pack
⏳ 11/2027

💊. Disp. Syringe 3cc
📦 100 pcs
⏳ 01/2029

💊. Disp. Syringe 5cc
📦 100 pcs
⏳ 01/2029

💊. Disp. Syringe 10cc
📦 100 pcs
⏳ 01/2029

💊. Surg. Glove powdered
📦 50 pairs 
⏳ 01/2029
  
💊. Surg Glove powder free
📦 50 pairs
⏳ 01/2029 

💊. Urine bag 2000ml
📦 
⏳ 4/2029

💊. ECG machine 1212G
  *Adopt 10.1 high resolution colour LCD operate by full-touch screen & function buttons.
* ECG that can simultaneously capture & print 12 lead ECG wave forms.
*Auto measurements & auto -interpretation for routine ECG parameters.

💊. Pulse Oximeter finger tip
       Model CMS5OD

🔰Update Items 🔰

✅️Diclofenac 75mg inj (Reyoung)
✅️Amoxa 500mg 10*10
✅️Ampi cap 500mg 10*10
✅️Doxy Cap 100mg 10*10
✅️Cloxa 500mg 10*50
✅️Ceftra WFI
✅️Cefixime syrup 60ml
✅️Haemup syrup 200ml 
✅️Vancomycin 1gm
✅️Dextro syrup
✅️Diphen syrup 
✅️Moxipile 156mg
✅️Moxipile 312mg & 457mg syrup
✅️Clavamya 156mg syrup
✅️Clavamya 228mg
✅️Salbutamol puff
✅️Keto shampo 100ml
✅️Ns with 6iv and 12iv set
✅️Gauze 90*100
✅️Syringe...10cc(Discount)
✅️Magnus Binocular Microscope 
✅️Exam glove powdered & free Discount price

Sinishaw (pharmacist)

    ☎️ :-0911884446
    ☎️  :-0903327887",False,,436,1
189020,tikvahpharma,Tikvah | Pharma,2026-01-18T07:40:10+00:00,,True,data\raw\images\tikvahpharma\189020.jpg,10254,7
189019,tikvahpharma,Tikvah | Pharma,2026-01-18T07:40:09+00:00,,True,data\raw\images\tikvahpharma\189019.jpg,11341,7
